subject,context,objective_number,page,objective,top_confidence,top_score,top_resource,top_resource_path
Economics,General,3,9,"Use a variety of methodologies, such as role plays, case studies, simulations, field trips, games and presentations by resource personnel. Practical assignments and discussions on topical issues should be used where possible.",high,12,Practice Questions\Kerwin Springer\CSEC Economics MCQ Question Bank - Kerwin Springer.json,Economics\Practice Questions\Kerwin Springer\CSEC Economics MCQ Question Bank - Kerwin Springer.json
Economics,SECTION 1: THE NATURE OF ECONOMICS,1,13,"define the term ""economics"";",high,8,Notes\T&T MoE SLMS\CSEC Economics S1 Obj 1-7 Nature of Economics.docx,Economics\Notes\T&T MoE SLMS\CSEC Economics S1 Obj 1-7 Nature of Economics.docx
Economics,SECTION 1: THE NATURE OF ECONOMICS,2,13,explain the branches of economics;,high,10,Notes\Caribbean AI\S01_Obj2_Branches of Economics.md,Economics\Notes\Caribbean AI\S01_Obj2_Branches of Economics.md
Economics,SECTION 1: THE NATURE OF ECONOMICS,3,13,explain the meaning of an economy;,high,8,Notes\T&T MoE SLMS\CSEC Economics S1 Obj 1-7 Nature of Economics.docx,Economics\Notes\T&T MoE SLMS\CSEC Economics S1 Obj 1-7 Nature of Economics.docx
Economics,SECTION 1: THE NATURE OF ECONOMICS,4,13,describe the main economic agents in an economy;,high,17,Notes\Caribbean AI\S01_Obj3-4_The Economy and Economic Agents.md,Economics\Notes\Caribbean AI\S01_Obj3-4_The Economy and Economic Agents.md
Economics,SECTION 1: THE NATURE OF ECONOMICS,5,13,"explain the concepts of scarcity, choice and opportunity cost within an economy;",high,24,"Notes\Caribbean AI\S01_Obj5_Scarcity, Choice and Opportunity Cost.md","Economics\Notes\Caribbean AI\S01_Obj5_Scarcity, Choice and Opportunity Cost.md"
Economics,SECTION 1: THE NATURE OF ECONOMICS,6,14,"use the production possibility frontier to illustrate basic economic concepts, principles and approaches;",high,19,Notes\Caribbean AI\S01_Obj6_Production Possibility Frontier.md,Economics\Notes\Caribbean AI\S01_Obj6_Production Possibility Frontier.md
Economics,SECTION 1: THE NATURE OF ECONOMICS,7,14,describe the main factors that affect the decisions made by economic agents.,high,17,Notes\Caribbean AI\S01_Obj7_Factors Affecting Decisions.md,Economics\Notes\Caribbean AI\S01_Obj7_Factors Affecting Decisions.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE",1,15,explain the difference between production and productivity;,high,14,Notes\Caribbean AI\S02_Obj1_Production and Productivity.md,Economics\Notes\Caribbean AI\S02_Obj1_Production and Productivity.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE",2,15,describe the factors of production;,high,13,Notes\Caribbean AI\S02_Obj2_Factors of Production.md,Economics\Notes\Caribbean AI\S02_Obj2_Factors of Production.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",3,17,describe the main sectors in an economy;,high,15,Notes\Caribbean AI\S01_Obj3-4_The Economy and Economic Agents.md,Economics\Notes\Caribbean AI\S01_Obj3-4_The Economy and Economic Agents.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",4,17,explain the difference between short run and long run;,high,14,Notes\Caribbean AI\S02_Obj4_Short Run and Long Run.md,Economics\Notes\Caribbean AI\S02_Obj4_Short Run and Long Run.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",5,17,identify the costs associated with production;,high,14,Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md,Economics\Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",6,17,calculate the costs associated with production;,high,14,Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md,Economics\Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",8,17,explain the difference between goods and services;,high,16,Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md,Economics\Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",9,17,explain the concept of resource allocation;,high,18,Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md,Economics\Notes\Caribbean AI\S02_Obj9_Resource Allocation Concept.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",10,17,describe the main types of economic systems;,high,15,Notes\Caribbean AI\S02_Obj10_Types of Economic Systems.md,Economics\Notes\Caribbean AI\S02_Obj10_Types of Economic Systems.md
Economics,"SECTION 2: PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",11,18,discuss the merits and demerits of each economic system;,high,21,Notes\Caribbean AI\S02_Obj11_Merits and Demerits of Economic Systems.md,Economics\Notes\Caribbean AI\S02_Obj11_Merits and Demerits of Economic Systems.md
Economics,SECTION 3: DEMAND AND SUPPLY,1,20,"explain the term ""market"";",high,12,Notes\Caribbean AI\S03_Obj3_Price Demand and Supply Relationship.md,Economics\Notes\Caribbean AI\S03_Obj3_Price Demand and Supply Relationship.md
Economics,SECTION 3: DEMAND AND SUPPLY,2,20,identify the market forces;,high,12,Notes\Caribbean AI\S03_Obj2_4_Market Forces and Ceteris Paribus.md,Economics\Notes\Caribbean AI\S03_Obj2_4_Market Forces and Ceteris Paribus.md
Economics,SECTION 3: DEMAND AND SUPPLY,3,20,use diagrams to describe the relationship between price and demand and price and supply;,high,22,Notes\Caribbean AI\S03_Obj3_Price Demand and Supply Relationship.md,Economics\Notes\Caribbean AI\S03_Obj3_Price Demand and Supply Relationship.md
Economics,SECTION 3: DEMAND AND SUPPLY,4,20,explain the concept of ceteris paribus;,high,13,Notes\Caribbean AI\S03_Obj2_4_Market Forces and Ceteris Paribus.md,Economics\Notes\Caribbean AI\S03_Obj2_4_Market Forces and Ceteris Paribus.md
Economics,SECTION 3: DEMAND AND SUPPLY,5,20,explain the concept of market equilibrium and disequilibrium;,high,18,Notes\Caribbean AI\S03_Obj5-6_Market Equilibrium and Disequilibrium.md,Economics\Notes\Caribbean AI\S03_Obj5-6_Market Equilibrium and Disequilibrium.md
Economics,SECTION 3: DEMAND AND SUPPLY,7,21,use diagrams to explain the non- price determinants of demand and supply;,high,21,Notes\Caribbean AI\S03_Obj7_Non-Price Determinants of Demand and Supply.md,Economics\Notes\Caribbean AI\S03_Obj7_Non-Price Determinants of Demand and Supply.md
Economics,SECTION 3: DEMAND AND SUPPLY,9,22,"explain the concept of price, income and cross-price elasticities of demand;",high,16,Notes\Caribbean AI\S03_Obj3_Price Demand and Supply Relationship.md,Economics\Notes\Caribbean AI\S03_Obj3_Price Demand and Supply Relationship.md
Economics,SECTION 3: DEMAND AND SUPPLY,10,22,"calculate the price, income and cross-price elasticities of demand;",high,16,Notes\Caribbean AI\S03_Obj7_Non-Price Determinants of Demand and Supply.md,Economics\Notes\Caribbean AI\S03_Obj7_Non-Price Determinants of Demand and Supply.md
Economics,SECTION 3: DEMAND AND SUPPLY,11,22,"interpret the price, income and cross-price elasticities of demand;",high,16,Notes\Caribbean AI\S03_Obj7_Non-Price Determinants of Demand and Supply.md,Economics\Notes\Caribbean AI\S03_Obj7_Non-Price Determinants of Demand and Supply.md
Economics,SECTION 3: DEMAND AND SUPPLY,12,22,"outline the factors affecting price, income and cross-price elasticities of demand;",high,24,Notes\Caribbean AI\S03_Obj12_Factors Affecting Demand Elasticities.md,Economics\Notes\Caribbean AI\S03_Obj12_Factors Affecting Demand Elasticities.md
Economics,SECTION 3: DEMAND AND SUPPLY,13,22,explain the concept of price elasticity of supply;,high,21,Notes\Caribbean AI\S03_Obj13_Price Elasticity of Supply Concept.md,Economics\Notes\Caribbean AI\S03_Obj13_Price Elasticity of Supply Concept.md
Economics,SECTION 3: DEMAND AND SUPPLY,14,22,calculate price elasticity of supply;,high,17,Notes\Caribbean AI\S03_Obj13_Price Elasticity of Supply Concept.md,Economics\Notes\Caribbean AI\S03_Obj13_Price Elasticity of Supply Concept.md
Economics,SECTION 3: DEMAND AND SUPPLY,15,22,interpret price elasticity of supply;,high,16,Notes\Caribbean AI\S03_Obj13_Price Elasticity of Supply Concept.md,Economics\Notes\Caribbean AI\S03_Obj13_Price Elasticity of Supply Concept.md
Economics,SECTION 3: DEMAND AND SUPPLY,16,22,outline the factors affecting price elasticity of supply.,high,22,Notes\Caribbean AI\S03_Obj16_Factors Affecting Supply Elasticity.md,Economics\Notes\Caribbean AI\S03_Obj16_Factors Affecting Supply Elasticity.md
Economics,SECTION 4: MARKET STRUCTURE AND MARKET FAILURE,1,24,"define the term ""market structure"";",high,13,Notes\Caribbean AI\S04_Obj5-6_Market Failure Definition and Causes.md,Economics\Notes\Caribbean AI\S04_Obj5-6_Market Failure Definition and Causes.md
Economics,SECTION 4: MARKET STRUCTURE AND MARKET FAILURE,2,24,describe the main types of market structures;,high,12,Notes\Caribbean AI\S04_Obj1-2_Market Structure Definition and Types.md,Economics\Notes\Caribbean AI\S04_Obj1-2_Market Structure Definition and Types.md
Economics,SECTION 4: MARKET STRUCTURE AND MARKET FAILURE,4,25,interpret graphs related to the main market structures;,high,16,Notes\Caribbean AI\S04_Obj3-4_Market Structure Graphs.md,Economics\Notes\Caribbean AI\S04_Obj3-4_Market Structure Graphs.md
Economics,SECTION 4: MARKET STRUCTURE AND MARKET FAILURE,5,25,"define the term ""market failure"";",high,13,Notes\Caribbean AI\S04_Obj5-6_Market Failure Definition and Causes.md,Economics\Notes\Caribbean AI\S04_Obj5-6_Market Failure Definition and Causes.md
Economics,SECTION 4: MARKET STRUCTURE AND MARKET FAILURE,6,25,"outline the main causes of market failure; and,",high,17,Notes\Caribbean AI\S04_Obj5-6_Market Failure Definition and Causes.md,Economics\Notes\Caribbean AI\S04_Obj5-6_Market Failure Definition and Causes.md
Economics,SECTION 4: MARKET STRUCTURE AND MARKET FAILURE,7,25,discuss the main consequences of market failure.,high,15,Notes\Caribbean AI\S04_Obj7_Consequences of Market Failure.md,Economics\Notes\Caribbean AI\S04_Obj7_Consequences of Market Failure.md
Economics,SECTION 5: THE FINANCIAL SECTOR,1,27,explain the concept of the Financial Sector;,high,15,Notes\Caribbean AI\S05_Obj1_The Financial Sector Concept.md,Economics\Notes\Caribbean AI\S05_Obj1_The Financial Sector Concept.md
Economics,SECTION 5: THE FINANCIAL SECTOR,2,27,discuss the role of the Financial Sector;,high,15,Notes\Caribbean AI\S05_Obj2_Role of the Financial Sector.md,Economics\Notes\Caribbean AI\S05_Obj2_Role of the Financial Sector.md
Economics,SECTION 5: THE FINANCIAL SECTOR,3,27,discuss the concept of money;,high,16,Notes\Caribbean AI\S05_Obj1_The Financial Sector Concept.md,Economics\Notes\Caribbean AI\S05_Obj1_The Financial Sector Concept.md
