section_id,section_num,section_title,objective_id,objective_num,content_stmt,skill_type,command_words,exam_weight
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.1,1,"Define the term ""economics""",Knowledge,Define,Both
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.2,2,Explain the branches of economics,Understanding,Explain,Both
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.3,3,Explain the meaning of an economy,Understanding,Explain,Both
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.4,4,Describe the main economic agents in an economy,Understanding,Describe,Both
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.5,5,"Explain the concepts of scarcity, choice and opportunity cost within an economy",Understanding,Explain,Both
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.6,6,"Use the production possibility frontier to illustrate basic economic concepts, principles and approaches",Application,Use|Illustrate,Both
ECON-S1,1,THE NATURE OF ECONOMICS,ECON-1.7,7,Describe the main factors that affect the decisions made by economic agents,Understanding,Describe,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.1,1,Explain the difference between production and productivity,Understanding,Explain,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.2,2,Describe the factors of production,Understanding,Describe,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.3,3,Describe the main sectors in an economy,Understanding,Describe,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.4,4,Explain the difference between short run and long run,Understanding,Explain,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.5,5,Identify the costs associated with production,Knowledge,Identify,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.6,6,Calculate the costs associated with production,Application,Calculate,Both
ECON-S2,2,"PRODUCTION, ECONOMIC RESOURCES AND RESOURCE ALLOCATION",ECON-2.7,7,Illustrate the curves associated with the cost of production,Understanding,Illustrate,Both
