section_id,section_num,section_title,objective_id,objective_num,content_stmt,skill_type,command_words,exam_weight
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.1,1,explain the concept of Information Technology,Understanding,Explain,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.2,2,"distinguish among the major types of computer systems in terms of processing speed, storage and portability",Understanding,Distinguish,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.3,3,explain the functions of the major hardware components of a computer system,Understanding,Explain,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.4,4,explain how the major hardware components of a computer system interrelate,Understanding,Explain,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.5,5,evaluate the relative merits of cloud storage and local storage,Application,Evaluate,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.6,6,select appropriate input/output devices to meet the needs of specified applications,Application,Select,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.7,7,explain the role of the different types of software in computer operation,Understanding,Explain,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.8,8,discuss the relative merits of the various types of user interface,Understanding,Discuss,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.9,9,evaluate the suitability of a given computer system for a specific purpose,Application,Evaluate,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.10,10,troubleshoot basic computer hardware problems,Application,Troubleshoot,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.11,11,distinguish between data and information,Understanding,Distinguish,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.12,12,evaluate the reliability of information obtained from online sources,Application,Evaluate,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.13,13,differentiate between validation and verification of data,Understanding,Differentiate,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.14,14,identify appropriate validation and verification checks given a particular scenario,Knowledge,Identify,Both
IT-S1,1,COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,IT-1.15,15,select appropriate file organization for particular application,Application,Select,Both
IT-S2,2,COMPUTER NETWORKS AND WEB TECHNOLOGIES,IT-2.1,1,distinguish among types of networks,Understanding,Distinguish,Both
IT-S2,2,COMPUTER NETWORKS AND WEB TECHNOLOGIES,IT-2.2,2,explain the functions of the basic components of a network,Understanding,Explain,Both
IT-S2,2,COMPUTER NETWORKS AND WEB TECHNOLOGIES,IT-2.3,3,assess the importance of mobile communication technologies as a component of modern communication networks,Application,Assess,Both
IT-S2,2,COMPUTER NETWORKS AND WEB TECHNOLOGIES,IT-2.4,4,explain the interrelationship among key Web technology concepts,Understanding,Explain,Both
IT-S3,3,SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT),IT-3.1,1,"outline the concepts of computer security, cybersecurity and computer misuse",Knowledge,Outline,Both
