section_id,section_num,section_title,objective_id,objective_num,content_stmt,skill_type,command_words,exam_weight
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.1,1,Distinguish among sets of numbers,Understanding,Distinguish,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.2,2,"Compute powers of real numbers of the form 𝓍𝑎, where 𝑎∈ℚ",Application,Compute,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.3,3,Evaluate numerical expressions using any of the four basic operations on real numbers,Application,Evaluate,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.4,4,"Convert among fractions, percents and decimals",Application,Convert,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.5,5,List the set of factors and multiples of a given integer,Knowledge,List,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.6,6,Compute the H.C.F. or L.C.M. of two or more positive integers,Application,Compute,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.7,7,State the value of a digit of a numeral in a given base,Knowledge,State,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.8,8,Convert from one set of units to another,Application,Convert,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.9,9,"Express a value to a given number of: (a) significant figures; and, (b) decimal places",Application,Express,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.10,10,Use properties of numbers and operations in computational tasks,Application,Use,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.11,11,Calculate any fraction or percentage of a given quantity,Application,Calculate,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.12,12,Write any rational number in scientific notation,Application,Write,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.13,13,Express one quantity as a fraction or percentage of another,Application,Express,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.14,14,Compare quantities,Application,Compare,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.15,15,Order a set of real numbers,Application,Order,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.16,16,Compute terms of a sequence given a rule,Application,Compute,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.17,17,Derive an appropriate rule given the terms of a sequence,Application,Derive,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.18,18,Divide a quantity in a given ratio,Application,Divide,Both
MATH-S1.1,1.1,NUMBER THEORY AND COMPUTATION,MATH-1.1.19,19,Solve problems involving concepts in number theory and computation,Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.1,1,"Calculate: (a) discount; (b) sales tax; (c) profit; and, (d) loss",Application,Calculate,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.2,2,"Calculate: (a) percentage profit; and, (b) percentage loss",Application,Calculate,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.3,3,"Express a profit, loss, discount, markup and purchase tax, as a percentage of some value",Application,Express,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.4,4,"Solve problems involving marked price, selling price, cost price, profit, loss or discount",Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.5,5,Solve problems involving payments by instalments as in the case of hire purchase and mortgages,Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.6,6,Solve problems involving simple interest,Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.7,7,Solve problems involving compound interest,Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.8,8,Solve problems involving appreciation and depreciation,Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.9,9,Solve problems involving measures and money,Application,Solve,Both
MATH-S1.2,1.2,CONSUMER ARITHMETIC,MATH-1.2.10,10,"Solve problems involving: (a) rates and taxes; (b) utilities; (c) invoices and shopping bills; (d) salaries and wages; and, (e) insurance and investments",Application,Solve,Both
MATH-S1.3,1.3,SETS,MATH-1.3.1,1,Explain concepts relating to sets,Understanding,Explain,Both
