section_id,section_num,section_title,objective_id,objective_num,content_stmt,skill_type,command_words,exam_weight
POA-S1,1,ACCOUNTING AS A PROFESSION,POA-1.1,1,explain the concept and purposes of Accounting,Understanding,Explain,Both
POA-S1,1,ACCOUNTING AS A PROFESSION,POA-1.2,2,identify the users of accounting information,Knowledge,Identify,Both
POA-S1,1,ACCOUNTING AS A PROFESSION,POA-1.3,3,describe traditional and emerging careers in the field of Accounting,Understanding,Describe,Both
POA-S1,1,ACCOUNTING AS A PROFESSION,POA-1.4,4,discuss ethical issues in the field of Accounting,Understanding,Discuss,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.1,1,outline the concepts and conventions that guide the accounting process,Knowledge,Outline,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.2,2,describe the accounting cycle,Understanding,Describe,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.3,3,appraise the accounting features of various types of business organisations,Application,Appraise,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.4,4,identify the main financial statements prepared by various business organisations,Knowledge,Identify,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.5,5,assess the role and impact of technology on the accounting process,Application,Assess,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.6,6,explain the concept of a Balance Sheet and the balance sheet equation,Understanding,Explain,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.7,7,identify the components of a Balance Sheet,Knowledge,Identify,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.8,8,"give examples of different types of assets and liabilities",Knowledge,Give,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.9,9,construct Balance Sheets,Application,Construct,Both
POA-S2,2,ACCOUNTING AS A SYSTEM,POA-2.10,10,determine which items in a Balance Sheet will change as a result of various transactions,Application,Determine,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.1,1,explain the uses of books of original entry,Understanding,Explain,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.2,2,distinguish between cash and credit transactions,Understanding,Distinguish,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.3,3,identify source documents related to books of original entry,Knowledge,Identify,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.4,4,prepare source documents for use in transaction descriptions,Application,Prepare,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.5,5,translate source documents into transaction descriptions,Application,Translate,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.6,6,use source documents to make entries into books of original entry,Application,Use,Both
POA-S3,3,BOOKS OF ORIGINAL ENTRY,POA-3.7,7,distinguish between trade and cash discounts,Understanding,Distinguish,Both
